data
10
x
y
FP
Zt
Zo
Zb
Zt_err
Zo_err
Zb_err
misfit
-117.01944254302133	32.44599998110738	3.1	0.34	11.68	23.03	0.16	0.49	1.96	0.2121
-116.49405010673748	32.49198963974146	2.8	0.43	10.37	20.31	0.15	0.35	1.4	0.2074
-115.96826703324027	32.536340775197125	3.1	0.33	9.12	17.92	0.16	0.57	2.28	0.2294
-115.442107035056	32.579052223679064	3.0	2.67	9.04	15.41	0.15	0.22	0.91	0.1869
-114.91558388496134	32.620122867568085	3.3	1.36	7.25	13.15	0.21	0.68	2.74	0.2601
-116.96444183263259	32.00036439265459	1.8	1.3	7.97	14.65	0.32	1.23	4.92	0.3306
-116.44094675567784	32.04624569097659	2.5	0.83	7.35	13.86	0.16	0.63	2.54	0.209
-115.91706529049354	32.09049252011821	3.2	0.41	8.53	16.65	0.17	0.74	2.96	0.2319
-115.39281100442274	32.13310369812108	3.6	0.33	7.51	14.69	0.14	0.49	1.96	0.193
-114.86819752397662	32.17407808982131	3.0	1.76	8.39	15.03	0.18	0.39	1.56	0.207
-116.38822980304634	31.59991920067565	2.9	0.39	7.0	13.6	0.14	0.41	1.65	0.1881
-115.86623637849516	31.644059677680364	3.0	0.36	7.52	14.67	0.15	0.66	2.63	0.2173
-115.3438741776864	31.68656861293648	3.2	0.44	10.83	21.21	0.19	0.76	3.07	0.2553
-115.81577625243985	31.1970707539227	2.6	0.79	7.44	14.1	0.18	0.7	2.79	0.2201
-115.29529265427051	31.239475488614833	3.4	0.33	10.17	20.02	0.22	0.8	3.22	0.244
-115.76568092563842	30.749554326675103	3.1	0.42	11.84	23.25	0.19	0.49	1.96	0.2243
-115.24706258970753	30.79185291799021	2.8	0.4	18.14	35.87	0.38	0.48	1.97	0.3773
-115.71594646848123	30.30153903743763	3.2	0.34	13.03	25.72	0.22	0.42	1.69	0.2523
-115.1991801946362	30.34372955811569	2.9	0.44	11.79	23.15	0.2	0.43	1.72	0.2411
-115.66656900742336	29.853053583208077	3.2	0.45	9.16	17.86	0.26	0.86	3.46	0.3082
-115.15164173382087	29.89513412208551	2.9	0.41	9.81	19.22	0.26	0.84	3.39	0.3065
-114.63637421673658	29.935599061802417	3.5	0.41	11.83	23.25	0.21	0.53	2.14	0.2587
-115.61754472399139	29.4041267082631	4.0	0.37	6.85	13.34	0.19	0.22	0.91	0.2322
